Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0379;CLUB DEPORTIVO BURGOS PROMESAS 2000;01/12/20;CALLE BURGENSE 18 OFICINA 5;09002;BURGOS;BURGOS;699 953906;info@burgospromesas.com;www.burgospromesas.com;ASOCIACIÓN;DEPORTIVAS;INFANCIA, JUVENTUD
A-0380;CLUB DEPORTIVO ATLETISMO TELENO;01/12/20;CALLE PEÑICAS 21;24700;ASTORGA;LEON;987 606689;urielbrazuelo@hotmail.com;;ASOCIACIÓN;DEPORTIVAS;INFANCIA, JUVENTUD
A-0381;CLUB ATLETICO AGUILAR;10/04/19;AUTOVÍA CIUDAD DEPORTIVA S/N;3480;AGUILAR DE CAMPOO;PALENCIA;619 417025;cdatleticoaguilar@gmail.com;;ASOCIACIÓN;DEPORTIVAS;INFANCIA, JUVENTUD
A-0382;ASOCIACIÓN DE VECINOS;26/11/20;AVENIDA INMACULADA (DE LA) 11 BAJO;05005;AVILA;AVILA;920 229632;znseminario@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0383;FUNDACION LUNA (SAN CRISTOBAL DE LA CUESTA);28/11/16;CALLE ALAMOS 7;37439;SAN CRISTOBAL DE LA CUESTA;SALAMANCA;687 518617;info@fundacionluna.org.es;www.fundacionluna.org.es;FUNDACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0384;CLUB DEPORTIVO CALASANZ DE SORIA;16/01/19;RONDA ELOY SANZ DE SORIA, 4 BAJO;42003;SORIA;SORIA;975 044039;calasanzsoria1987@yahoo.es;;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO;INFANCIA, JUVENTUD
A-0385;FEDERACIÓN COLECTIVOS EDUCACIÓN ADULTOS VALLADOLID (FECEAV);25/11/20;CALLE PELICANO 15 4 A;47012;VALLADOLID;VALLADOLID;983 210162;feceav@gmail.com;www.feceav.net;FEDERACIÓN-CONFEDERACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;PERSONAS MAYORES, VOLUNTARIADO
A-0386;COLEGIO LA SALLE DE PALENCIA;09/02/17;CALLE SAN BERNARDO 9;34002;PALENCIA;PALENCIA;979 742500;dppalencia@sallep.net;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0387;ASOCIACION IGUALDAD ES SOCIEDAD, DERECHOS Y OPORTUNIDADES PARA COLECTIVOS EN DESVENTAJA;10/03/17;CALLE ADELFA 20;47008;VALLADOLID;VALLADOLID;608 489133;asies@igualdad-es.org;www.igualdad-es.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], VOLUNTARIADO
A-0388;ASOCIACIÓN AUTISMO PALENCIA;25/02/21;AVENIDA SIMON NIETO 14;34001;PALENCIA;PALENCIA;979 104150;autismopalencia@gmail.com;autismopalencia.blogspot.com.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, CULTURALES, DEFENSA DE LOS DERECHOS HUMANOS;DISCAPACIDAD PSIQUICA, VOLUNTARIADO
A-0389;ASOCIACION AGROCULTURAL EL CANAL;06/05/19;CALLE CAÑO 3;47151;BOECILLO;VALLADOLID;648 279469;;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, PROMOCION DEL MUNDO RURAL, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, EDUCATIVAS, OCIO Y TIEMPO LIBRE;POBLACIÓN GENERAL, VOLUNTARIADO
A-0390;FUNDACION DIAGRAMA - INTERVENCION PSICOSOCIAL;17/04/19;Avda. Ciudad de Almería, nº 10;30002;MURCIA;MURCIA;968 344344;administracion@diagrama.org;www.fundaciondiagrama.es;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0391;ABREGO:MEDIOAMBIENTE Y DESARROLLO RURAL;09/06/20;CALLE DIEGO POLO 4 2º A;09001;BURGOS;BURGOS;696 611258;gestion@todolocrialatierra.com;www.todolocrialatierra.com;ASOCIACIÓN;PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, CULTURALES;JUVENTUD, POBLACIÓN GENERAL
B-0392;AYUNTAMIENTO DE ABADES;03/07/17;CALLE SANTO CRISTO 1;40141;ABADES;SEGOVIA;921 495204;abades@abades.es;www.abades.es;ADMINISTRACIÓN LOCAL;FOMENTO DEL VOLUNTARIADO, CULTURALES;POBLACIÓN GENERAL
A-0393;FEDERACIÓN DE LA MUJER RURAL (FEMUR);25/11/20;CALLE BUITRAGO S/N;40353;HONTALBILLA;SEGOVIA;921 148158;administracion@femur.es;www.femur.es;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, PROMOCION DEL MUNDO RURAL, CULTURALES, EDUCATIVAS;(MUJER), JUVENTUD, POBLACIÓN GENERAL
A-0394;CLUB DEPORTIVO CASTILLA SOPORT CLUB;01/12/20;CALLE PABLO CASALS 32 5 D;09007;BURGOS;BURGOS;609 536043;BFM8888@HOTMAIL.COM;WWW.CASTILLASPORT.COM;SOCIEDADES;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0395;ASOCIACIÓN MUNDO AZUL (PALENCIA);19/12/18;AVENIDA SAN TELMO 17 BAJO DERECHA. LOCAL 4;34004;PALENCIA;PALENCIA;659 905154;MUNDOAZULPALENCIA@GMAIL.COM;HTTP://MUNDOAZULPALENCIA.COM;ASOCIACIÓN;OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0396;ASOCIACION CULTURAL ART DE TROYA;04/11/19;CALLE SAL 8;09400;ARANDA DE DUERO;BURGOS;947 503638;admon@artdetroya;sonorama-aranda.com;ASOCIACIÓN;CULTURALES;JUVENTUD, POBLACIÓN GENERAL
A-0397;SOCIEDAD DE SAN VICENTE DE PAUL;25/11/19;CALLE C/ PAPÍN, 13Y 14;37007;SALAMANCA;SALAMANCA;91 3697990;ssvp@ssvp.es;http://www.ssvp.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;EXCLUSION SOCIAL, INFANCIA, (MUJER), PERSONAS MAYORES, VOLUNTARIADO
A-0398;FUNDACIÓN PROYECTO JOVEN;19/02/21;CALLE TORREJON (EL)  4  LEÓN;24007;LEON;LEON;987 876406;educacion@proyectojovenleon.org;www.proyectojovenleon.org;FUNDACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0399;ASOCIACIÓN ESCUELA CASTELLANO-LEONESA DE EDUCADORES EN EL TIEMPO LIBRE;24/11/20;CALLE MONTEVIDEO 10;37003;SALAMANCA;SALAMANCA;923 187284;escaleti@escaleti.com;www.escuelacastellanoleonesadeti.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;JUVENTUD, VOLUNTARIADO
A-0400;ESCUELA INFANTIL  "URSULA BENINCASA";17/04/18;CALLE EMPERADOR 16;09003;BURGOS;BURGOS;947 256121;ursulabenincasa.burgos@teatinas.com;www.teatinas.com;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;INFANCIA, VOLUNTARIADO
A-0401;ASOCIACIÓN SOLIDARIOS POR LEÓN, PROYECTO CONVIVO;09/03/21;CALLE ARQUITECTO TORBADO 4 2º IZDA;24003;LEON;LEON;640 051679;solidariosporleon@gmail.com;www.solidariosporleon.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DEFENSA DE LOS DERECHOS HUMANOS;DISCAPACIDAD PSIQUICA, VOLUNTARIADO
A-0402;FUNDACION AVATA DE AYUDA AL ACCIDENTADO;22/11/17;CALLE BRAVO MURILLO, Nº 377 3º OFICINA A;24001;MADRID;MADRID;987 094686;direccion@fundacionnavata.org;www.fundacionavata.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;POBLACIÓN GENERAL
A-0403;ASOCIACION PLATAFORMA AMIAGOS EZQUERRA;17/04/18;CALLE SOL Y LUNA;09268;EZQUERRA;BURGOS;947 294067;caricuca@hotmail.com;;ASOCIACIÓN;DEFENSA DEL PATRIMONIO HISTORICO Y ARTISTICO;
A-0404;ASOCIACION DE VOLUNTARIADO FLAVIUM;23/01/20;PLAZA SANTUARIO (EL) S/N;24540;CACABELOS;LEON;608 920303;2014flavium@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], PERSONAS MAYORES, VOLUNTARIADO
A-0405;ASOCIACION CULTURAL DANZA ESPAÑOLA;24/01/18;CALLE ALBENIZ 1;47006;VALLADOLID;VALLADOLID;983 338331;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;DISCAPACIDAD PSIQUICA, INFANCIA, JUVENTUD, POBLACIÓN GENERAL
A-0406;ADISVATI - ASOCIACIÓN PARA EL DESARROLLO INTEGRAL DE LAS PERSONAS CON DISCAPACIDAD Y NECESIDADES ESPECIALES DEL VALLE DEL TIETAR;26/11/20;CTRA. DE OROPESA S/Nº. CHALET Nº1 -  CENTRO DE FERMENTACIÓN DEL TABACO - CANDELEDA, 05480 ÁVILA;05480;CANDELEDA;AVILA;920 381033;adisvati5@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL, ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL
A-0407;ASOCIACION PSICOLOGIA  PARA EL PROGRESO;14/02/18;CALLE ALCAZAR DE TOLEDO 16 1º B;24001;LEON;LEON;987 498334;psicologiaparaelprogreso@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], PERSONAS MAYORES, ENFERMEDAD MENTAL
A-0408;CONSEJO DE COLEGIOS PROFESIONALES DE DIPLOMADOS EN TRABAJO SOCIAL;15/02/18;CALLE ESTADIO 7 ENTREPLANTA F-G;47006;VALLADOLID;VALLADOLID;634 549190;consejocyl@cgtrabajosocial.es;www.consejotrabajosocialcyl.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EMERGENCIAS Y PROTECCION CIVIL, FOMENTO DEL VOLUNTARIADO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0409;AFEDECYL, VOLUNTARIADO DEPORTIVO;20/02/18;CALLE RECTOR HIPOLITO DURAN 9-11;47011;VALLADOLID;VALLADOLID;656 557783;comunicacion@afedecyl.es;www.afedecyl.com;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO;INFANCIA, JUVENTUD
A-0410;FUNDACIÓN CEPAIM - ACCIÓN INTEGRAL CON MIGRANTES;12/02/20;CALLE NARCISO 7 BAJO;37004;SALAMANCA;SALAMANCA;647 411577;info@cepaim.org;www.cepaim.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], (MUJER)
A-0411;FEDERACIÓN MARCHA COMPOSTELA;25/11/20;AVENIDA MADRID 66;47008;VALLADOLID;VALLADOLID;983 476162;marcha@maristascompostela.org;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;INFANCIA, JUVENTUD, VOLUNTARIADO
B-0412;AYUNTAMIENTO DE BRIVIESCA;21/03/18;CALLE SANTA MARIA ENCIMERA 1;09240;BRIVIESCA;BURGOS;947 590405;ayuntamiento@ayto-briviesca.com;ayto.briviesca.es;ADMINISTRACIÓN LOCAL;DEPORTIVAS, CULTURALES, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, POBLACIÓN GENERAL
A-0413;CLUB DEPORTIVO SPORT-OUR;01/12/20;CALLE FELIPE RUIZ MARTIN 20-1ºB;47016;VALLADOLID;VALLADOLID;635 539111;sport-out@hotmail.com;;ASOCIACIÓN;DEPORTIVAS;JUVENTUD, POBLACIÓN GENERAL
A-0414;ASOCIACIÓN VECINOS MULTICULTURAL GARRIDO CONTIGO;12/04/19;PLAZA BARCELONA 5 1ºD;37004;SALAMANCA;SALAMANCA;617 533053;asociaciongarridocontigo@gmail.com;;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0415;C.D. MANANTIAL DEPORTE ADAPTADO;01/06/20;CALLE REAL 30;24930;VALDEPOLO;LEON;987 336658;manatialasoc@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, SANITARIAS;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL, ENFERMEDAD FÍSICA
A-0416;CLUB DEPORTIVO UNIÓN DEPORTIVA SUR;01/12/20;PLAZA JUAN DE AUSTRIA (INST. DEPORTIVAS;47006;VALLADOLID;VALLADOLID;983 279808;udcsur@gmail.com;www.udcsur.com;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0417;FUNDACIÓN AVIVA;25/06/20;CALLE ALMANSA 9-13;37003;SALAMANCA;SALAMANCA;923 156012;ocio@avivasalamanca.org;www.avivasalamanca.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA;DISCAPACIDAD PSIQUICA, VOLUNTARIADO
A-0418;FUNDACION HERMANOS ORTEGA ARCONADA (F.H.O.A.);12/07/18;Urbanizacion Virgen del Milagro, nº 20, bajo;34190;VILLAMURIEL DE CERRATO;PALENCIA;979 744171;fhoa@fhoa.es;www.fhoa.es;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, SANITARIAS;ENFERMEDAD MENTAL
A-0419;ASOCIACIÓN DE DISCAPACITADOS BIERZO (ADISBIER);06/03/19;CALLE SAN ROQUE 24;24404;SAN ANDRES DE MONTEJOS;LEON;600 490492;adisbier@gmail.com;www.adisbier.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL, ENFERMEDAD MENTAL
A-0420;ASOCIACIÓN DE JUGADORES PATOLÓGICOS REHABILITADOS DE VALLADOLID - AJUPAREVA;30/08/18;AVA. VALLE DE ESGUEVA, 8;47011;VALLADOLID;VALLADOLID;983 394365;presidencia@ajupareva.es;www.ajupareva.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DESARROLLO DE LA VIDA ASOCIATIVA;POBLACIÓN GENERAL, VOLUNTARIADO
A-0421;ADISME;16/04/19;CALLE RESPALDO DE LOPE DE VEGA 4 3º;47400;MEDINA DEL CAMPO;VALLADOLID;617 898881;adisme@outlook.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0422;FEDERACIÓN DE ASOCIACIONES DE PERSONAS SORDAS DE CASTILLA Y LEÓN (FASPCL);24/11/20;CALLE MONASTERIO SANTA MARIA DE MORERUELA 9 LOCAL;47015;VALLADOLID;VALLADOLID;983 202620;fapscl@fapscl.org;www.fapscl.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD SENSORIAL
A-0423;ASOCIACION DE DESARROLLO RURAL RDB;24/09/18;CALLE CAVA S/N;09410;PEÑARANDA DE DUERO;BURGOS;947 552091;rdb@riberadeldueroburgalesa.com;;ASOCIACIÓN;PROMOCION DEL MUNDO RURAL;POBLACIÓN GENERAL, VOLUNTARIADO
A-0424;FUNDACIÓN FUNDANEED;12/02/21;AVENIDA MIRAT 51 2º;37002;SALAMANCA;SALAMANCA;923 135581;info@fundanned.es;www.fundaneed.es;FUNDACIÓN;EDUCATIVAS, SANITARIAS;INFANCIA, JUVENTUD
A-0425;CARITAS DIOCESANA DE BURGOS;29/10/18;CALLE SAN FRANCISCO 8;09003;BURGOS;BURGOS;947 256219;caritas.cdburgos@caritas.es;caritasburgos.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, EDUCATIVAS;EXCLUSION SOCIAL, (MUJER), [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, JUVENTUD, PERSONAS MAYORES, POBLACIÓN GENERAL, VOLUNTARIADO
A-0426;ASOCIACION PALADIO ARTE;07/11/18;CALLE JARDINES 1;40100;SAN ILDEFONSO O LA GRANJA;SEGOVIA;678 555239;apaladioarte2gmail.com;www.paladioarte.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, VOLUNTARIADO
A-0427;CONGREGACION HERMANAS OBLATAS DEL SANTISIMO REDENTOR. COMUNIDAD. PROYECTO;13/11/18;CALLE RONDILLA DE SANTA TERESA 1;47009;VALLADOLID;VALLADOLID;983 398531;albor.valladolid@yahoo.es;wwwcentroalbor.com;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, (MUJER), [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0428;CENTRO ASISTENCIAL HERMANAS HOSPITALARIAS DE BURGOS;18/02/21;CALLE DE LAS DELICIAS 11;09005;BURGOS;BURGOS;947 276060;ch.burgos@hospitalarias.es;www.hospitalariasburgos.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES, POBLACIÓN GENERAL
A-0429;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;08/04/19;CARRETERA BURGOS;34004;PALENCIA;PALENCIA;979 165324;ch.palencia@hospitalarias.es;www.hospitalariaspalencia.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO, SANITARIAS;DISCAPACIDAD PSIQUICA, PERSONAS MAYORES
A-0430;ASOCIACIÓN SÍNDROME DE ASPERGER DE SALAMANCA;26/11/20;CALLE BAÑEZA (LA) 7;37006;SALAMANCA;SALAMANCA;606 180381;tsocial.aspergersalamanca@gmail.com;;ASOCIACIÓN;DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0431;ASOCIACION GRUPO DE REHABILITACION DE LA FAUNA AUTOCTONA Y SU HABITAT (GREFA);17/04/19;CALLE MONTE DEL PILAR, S/N;28220;MAJADAHONDA;MADRID;91 6387550;grefa@grefa.org;www.grefa.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0432;ASOCIACION MADRILEÑA PARA LA AYUDA DEL RECLUSO ABANDONADO (AMPARA);24/04/19;CALLE O'DONNELL 32, 2º A;28009;MADRID;MADRID;91 4008973;info@asociacionampara.org;www.asociacionampara.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, VOLUNTARIADO
A-0433;SEO/BIRDLIFE;11/06/19;CALLE MELQUIADES BIENCINTO Nº 34;28053;SALAMANCA;SALAMANCA;91 4340910;seo@seo.org;www.seo.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0434;ESCUELA DE TIEMPO LIBRE ALQUITE;04/05/20;CALLE SAN VICENTE MARTIR 2 - BAJO;24004;LEON;LEON;987 215600;alquite@alquite.com;WWW.alquite.com;SOCIEDADES;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, INFANCIA, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], JUVENTUD, POBLACIÓN GENERAL, VOLUNTARIADO
A-0435;LA CASA CON ALAS;23/07/19;AVENIDA SUERO DE QUIÑONES 6,1ºDCHA;24002;LEON;LEON;675 902167;biodanzaleon@gmail.com;www.lacasaconalas.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], PERSONAS MAYORES
A-0436;EL ARBOL DE LA VIDA "AMANDO PROCESOS";16/09/19;AVENIDA CAMINO DE SANTIAGO 109 2º;24410;CAMPONARAYA;LEON;649 965212;amandoprocesos@gmail.com;https://amandoprocesos.wixsite.com/elarboldelav;ASOCIACIÓN;CULTURALES, EDUCATIVAS, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0437;FEDERACIÓN CASTELLANO LEONESA DE JUGADORES DE AZAR REHABILITADOS (FECYLJAR);24/11/20;AVENIDA VALLE DE ESGUEVA 8;47011;VALLADOLID;VALLADOLID;983 310317;federacioncyl@ajupareva.es;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, SANITARIAS;TOXICOMANÍAS Y ADICCIONES, POBLACIÓN GENERAL
A-0438;FEDERACIÓN ASOCIACIONES DE CASTILLA Y LEÓN DE ESCLEROSIS MÚLTIPLE (FACALEM);24/11/20;CALLE OBISPO CUADRILLERO 13 BAJO;24007;LEON;LEON;987 226699;FACALEM@HOTMAIL.ES;WWW.FACALEM.ES;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DESARROLLO DE LA VIDA ASOCIATIVA, SANITARIAS;DISCAPACIDAD SENSORIAL, ENFERMEDAD FÍSICA
A-0439;CLUB DEPORTIVO ATLETISMO DE SEGOVIA;01/12/20;CALLE CRISTO DEL MERCADO (DEL) 7 4-A;40005;SEGOVIA;SEGOVIA;921 406578;juventudaatletica@hotmail.com;http://clubatletismosegovia.asociaciones.segovia;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD
A-0440;ARZOBISPADO DE BURGOS;04/11/19;C/ E. MARTINEZ DEL CAMPO, 18;09003;BURGOS;BURGOS;947 208440;vicariog@archiburgos.es;www.archiburgos.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;CULTURALES, DEFENSA DEL PATRIMONIO HISTORICO Y ARTISTICO;EXCLUSION SOCIAL, VOLUNTARIADO
A-0441;COLEGAS CONFEDERACIÓN LGBT ESPAÑOLA;25/11/20;CALLE MIRABEL 1 6º B;47003;VALLADOLID;VALLADOLID;607 929460;info@colegas.lgbt;www.colegas.igbt;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;POBLACIÓN GENERAL, VOLUNTARIADO
A-0442;AWEN LGTBI DE LEÓN;24/11/20;PLAZA MARQUESES DE ASTORGA 9;24700;ASTORGA;LEON;987 796788;awenlgtbi@gmail.com;www.awenlgtbi.tk;ASOCIACIÓN;EDUCATIVAS;POBLACIÓN GENERAL, VOLUNTARIADO
A-0443;ASOCIACION VALLISOLETANA DE PERSONAS AFECTADAS POR EL TRASTORNO DE DEFICIT DE ATENCION Y/O HIPERACTIVIDAD - AVATDAH;10/03/20;CALLE MARIANO GARCIA ABRIL 4 LOCAL 7;47014;VALLADOLID;VALLADOLID;983 115786;info@avatdah.org;www.avatdah.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD
A-0444;ASOCIACIÓN CASTILLA Y LEÓN DE AFECTADOS POR RETINOSIS PIGMENTARIA;24/11/20;CALLE DOS DE MAYO 16, MARQUESINA-EDIFICIO ONCE;47004;VALLADOLID;VALLADOLID;653 687853;info@retinacastillayleon.org;www.retinacastillayleon.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0445;FUNDACION ATAPUERCA;04/02/20;CARRETERA DE LOGROÑO, 44;09198;IBEAS DE JUARROS;BURGOS;947 257067;evamanrique@fundacionatapuerca;fundacionatapuerca.es;FUNDACIÓN;FOMENTO DEL VOLUNTARIADO, DEFENSA DEL PATRIMONIO HISTORICO Y ARTISTICO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0446;CLUB DEPORTIVO  FÚTBOL SALA SALAMANCA;01/12/20;CALLE FERNANDO DE ROJAS 26 BAJO;37005;SALAMANCA;SALAMANCA;609 262685;juanlu12sg.sa@gmail.com;www.salamancafutbolsala.com;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO;INFANCIA, JUVENTUD
A-0447;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);24/11/20;CALLE ANA MOGAS 2bis, 1º;24009;LEON;LEON;987 246644;correo2asprona-leon.es;www.asprona-leon.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA
A-0448;C.D. TRIALTLON PISUERGA-TRIPI;01/06/20;CALLE SAN DIEGO 5-8 DERECHA;47003;VALLADOLID;VALLADOLID;647 535419;triatlonpisuerga@gmail.com;triatlonpisduerga.com;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO;JUVENTUD, VOLUNTARIADO
